covariate,coef,exp(coef),se(coef),z,p,lower 95%,upper 95%
Age,0.032642909595117064,1.0331815341487909,0.003178219497539735,10.270816606715174,9.53937299274737e-25,1.0267656477794254,1.039637511066563
Sex_Male,0.08169217175581032,1.0851217272961218,0.07748447831671004,1.054303694501262,0.291743897822316,0.9322310240741425,1.2630872955762846
Stage_I,-0.42802643568450105,0.6517941839455719,0.26183439689074883,-1.6347219493208769,0.1021073490655492,0.39015451597931367,1.0888907876893552
Stage_IB,-16.66241513490902,5.8023650927289774e-08,17352.719500314837,-0.0009602192402526132,0.99923385601095,0.0,inf
Stage_II,-0.08501682382904037,0.9184968316378008,0.25436521556622815,-0.33423132813104645,0.7382050055339933,0.557906727685275,1.5121460055319296
Stage_IIA,-11.589881402745814,9.259306512718197e-06,605.397672103306,-0.019144245075273594,0.9847260354219766,0.0,inf
Stage_IIB,1.9689933755342817,7.163461941736459,1.029319260154705,1.9129083188809128,0.05575979041496058,0.9527189754073945,53.86182947470284
Stage_III,0.3522369787111459,1.4222455256974658,0.24772296330639057,1.421898777609444,0.15505563812455728,0.8752102747345872,2.311195827745374
Stage_IIIA,2.6082328380681212,13.57504034832822,0.748598855163147,3.4841528544679545,0.0004936974459481893,3.1299156117314353,58.87753643197956
Stage_IIIC,2.5005981995636257,12.189783703417712,0.7469657336063734,3.347674581390315,0.0008149264112916976,2.8195358071569703,52.700457415342065
Stage_IV,1.0050686435239145,2.732094807004571,0.44780125502251383,2.244452493714836,0.02480330225572424,1.13586481398958,6.5715056426862954
Stage_IVA,0.9365725311294842,2.5512221812899476,0.2428136172843351,3.8571664209126975,0.00011470906637252506,1.5851302590149783,4.106119721889894
Stage_IVB,1.6172581320372224,5.039254386925988,0.2519914102108575,6.417909764003296,1.381581016082667e-10,3.0751818681104055,8.257750554362046
Stage_IVC,-12.446883977168698,3.929949519137834e-06,1500.6035051601477,-0.008294585434705045,0.9933819542305631,0.0,inf
Stage_X,1.5979815553921775,4.943045085641551,0.5539890865687078,2.8845000635116116,0.003920356795645192,1.6689303260611141,14.640332395631932
"HPV_Yes, positive",-1.0221597081469715,0.3598170007065128,0.08165530681224716,-12.51798257885747,5.952902860840001e-36,0.3066031101351708,0.4222666689204572
Tx Modality_ChemoRT ,-11.64866845734899,8.730669885267819e-06,1015.9640588236113,-0.011465630458263482,0.9908519509127146,0.0,inf
Tx Modality_Postop RT alone,1.706226949419026,5.508139731760207,0.7120325268645055,2.3962766938928177,0.016562582161804503,1.3643373337028621,22.237611296799006
Tx Modality_RT + EGFRI,0.5870076191191329,1.7985982636699076,0.18397149476793104,3.190753110201163,0.0014190248415771518,1.2541149631879287,2.5794730220371744
Tx Modality_RT alone,0.7236135760843498,2.061870490856763,0.08110758917621068,8.921650654814307,4.593893310375687e-19,1.7588243843509066,2.4171315561074924
